query name	subject	percent identities	aligned length	number of mismatched positions	number of gap positions	query sequence start	query sequence end	subject sequence start	subject sequence end	e-value	bit score
A_07_P000079	ECs3952	100.00	60	0	0	1	60	639	698	5e-28	119
A_07_P052826	ECs2961	100.00	60	0	0	1	60	600	659	5e-28	119
A_07_P011296	ECs5094	98.33	60	1	0	1	60	869	928	1e-25	111
A_07_P006850	ECs1674	100.00	60	0	0	1	60	235	294	5e-28	119
A_07_P050640	ECs1980	100.00	60	0	0	1	60	626	685	5e-28	119
A_07_P021211	ECs0474	96.67	60	2	0	1	60	837	896	3e-23	103
A_07_P017033	ECs4496	100.00	60	0	0	1	60	814	873	5e-28	119
A_07_P012651	ECs4109	100.00	60	0	0	1	60	408	467	5e-28	119
A_07_P043534	ECs0304	100.00	60	0	0	1	60	467	526	5e-28	119
A_07_P040746	ECs1427	98.21	56	1	0	5	60	2500	2555	3e-23	103
A_07_P001226	ECs1154	98.33	60	1	0	1	60	26	85	1e-25	111
A_07_P042971	lcl|NC_002128.1_gene_34	100.00	55	0	0	1	55	726	780	5e-25	109
A_07_P051221	ECs2240	100.00	60	0	0	1	60	972	1031	5e-28	119
A_07_P061362	ECs4981	100.00	60	0	0	1	60	164	223	5e-28	119
A_07_P007316	ECs4343	100.00	60	0	0	1	60	1452	1511	5e-28	119
A_07_P061567	ECs5104	100.00	60	0	0	1	60	1567	1626	5e-28	119
A_07_P010617	ECs4702	95.00	60	3	0	1	60	1403	1462	7e-21	95.6
A_07_P038471	ECs2986	98.33	60	1	0	1	60	629	688	1e-25	111
A_07_P000694	ECs3071	100.00	60	0	0	1	60	958	1017	5e-28	119
A_07_P047219	ECs4937	100.00	60	0	0	1	60	2801	2860	5e-28	119
A_07_P047173	ECs4893	100.00	60	0	0	1	60	818	877	5e-28	119
A_07_P010931	ECs0054	94.74	57	3	0	4	60	430	486	4e-19	89.7
A_07_P040238	ECs4010	96.67	60	2	0	1	60	3	62	3e-23	103
A_07_P007426	ECs4370	93.33	60	4	0	1	60	1168	1227	2e-18	87.7
A_07_P016657	ECs0617	96.67	60	2	0	1	60	222	281	3e-23	103
A_07_P057000	ECs0951	100.00	60	0	0	1	60	128	187	5e-28	119
A_07_P056671	ECs0778	100.00	60	0	0	1	60	468	527	5e-28	119
A_07_P005181	ECs1031	100.00	60	0	0	1	60	910	969	5e-28	119
A_07_P011010	ECs0068	100.00	60	0	0	1	60	751	810	5e-28	119
A_07_P037456	ECs4931	100.00	57	0	0	1	57	840	896	3e-26	113
A_07_P003236	ECs2898	100.00	60	0	0	1	60	1204	1263	5e-28	119
A_07_P003722	ECs5211	100.00	60	0	0	1	60	69	128	5e-28	119
A_07_P053058	ECs3020	100.00	60	0	0	1	60	1577	1636	5e-28	119
A_07_P060618	ECs2277	100.00	60	0	0	1	60	162	221	5e-28	119
A_07_P043498	ECs0297	100.00	60	0	0	1	60	94	153	5e-28	119
A_07_P047644	ECs1777	100.00	60	0	0	1	60	261	320	5e-28	119
A_07_P059396	ECs0024	100.00	60	0	0	1	60	422	481	5e-28	119
A_07_P012216	ECs3901	100.00	60	0	0	1	60	542	601	5e-28	119
A_07_P049098	lcl|NC_002128.1_gene_67	100.00	60	0	0	1	60	801	860	5e-28	119
A_07_P010731	ECs0008	100.00	60	0	0	1	60	890	949	5e-28	119
A_07_P044580	ECs2632	100.00	60	0	0	1	60	125	184	5e-28	119
A_07_P054237	ECs2032	100.00	60	0	0	1	60	181	240	5e-28	119
A_07_P056765	ECs0819	100.00	60	0	0	1	60	336	395	5e-28	119
A_07_P005234	ECs1041	100.00	60	0	0	1	60	627	686	5e-28	119
A_07_P050182	ECs1518	100.00	60	0	0	1	60	288	347	5e-28	119
A_07_P052065	ECs1217	100.00	60	0	0	1	60	178	237	5e-28	119
A_07_P014969	ECs2660	96.67	60	2	0	1	60	528	587	3e-23	103
A_07_P059966	ECs4340	100.00	60	0	0	1	60	663	722	5e-28	119
A_07_P049148	ECs0052	100.00	60	0	0	1	60	175	234	5e-28	119
A_07_P042156	ECs1020	95.00	60	3	0	1	60	100	159	7e-21	95.6
A_07_P040930	ECs2269	96.55	58	2	0	1	58	986	1043	5e-22	99.6
A_07_P007728	ECs4443	100.00	60	0	0	1	60	228	287	5e-28	119
A_07_P017509	ECs5322	98.33	60	1	0	1	60	481	540	1e-25	111
A_07_P049132	ECs0025	100.00	60	0	0	1	60	1221	1280	5e-28	119
A_07_P062563	ECs1313	100.00	60	0	0	1	60	504	563	5e-28	119
A_07_P031782	ECs1387	90.00	60	6	0	1	60	36	95	1e-13	71.9
A_07_P061247	ECs4958	100.00	60	0	0	1	60	78	137	5e-28	119
A_07_P033862	ECs1019	93.10	58	4	0	1	58	380	437	3e-17	83.8
A_07_P052167	ECs4297	100.00	60	0	0	1	60	613	672	5e-28	119
A_07_P056288	ECs3772	100.00	60	0	0	1	60	251	310	5e-28	119
A_07_P005415	ECs4631	100.00	60	0	0	1	60	415	474	5e-28	119
A_07_P063738	ECs5199	100.00	60	0	0	1	60	3655	3714	5e-28	119
A_07_P014568	ECs1896	100.00	60	0	0	1	60	82	141	5e-28	119
A_07_P017291	ECs4612	95.00	60	3	0	1	60	1347	1406	7e-21	95.6
A_07_P062785	ECs1936	100.00	60	0	0	1	60	159	218	5e-28	119
A_07_P048229	ECs1996	100.00	60	0	0	1	60	553	612	5e-28	119
A_07_P032418	ECs3190	94.83	58	3	0	1	58	644	701	1e-19	91.7
A_07_P018218	ECs4287	100.00	60	0	0	1	60	637	696	5e-28	119
A_07_P009458	ECs2077	98.28	58	1	0	3	60	629	686	2e-24	107
A_07_P042167	ECs1150	96.67	60	2	0	1	60	121	180	3e-23	103
A_07_P047446	ECs5254	100.00	60	0	0	1	60	664	723	5e-28	119
A_07_P046028	ECs4255	100.00	60	0	0	1	60	400	459	5e-28	119
A_07_P044565	ECs2626	100.00	60	0	0	1	60	236	295	5e-28	119
A_07_P015121	ECs2691	100.00	60	0	0	1	60	130	189	5e-28	119
A_07_P001687	ECs1475	100.00	60	0	0	1	60	933	992	5e-28	119
A_07_P037383	ECs5353	91.53	59	5	0	2	60	253	311	2e-15	77.8
A_07_P035898	ECs0164	95.00	60	3	0	1	60	1287	1346	7e-21	95.6
A_07_P011954	ECs3838	98.33	60	1	0	1	60	127	186	1e-25	111
A_07_P055610	ECs2840	100.00	60	0	0	1	60	1119	1178	5e-28	119
A_07_P059088	lcl|NC_002128.1_gene_25	100.00	60	0	0	1	60	189	248	5e-28	119
A_07_P054605	ECs2208	100.00	60	0	0	1	60	149	208	5e-28	119
A_07_P057011	ECs0957	100.00	60	0	0	1	60	736	795	5e-28	119
A_07_P059616	ECs0232	100.00	60	0	0	1	60	144	203	5e-28	119
A_07_P053195	ECs3190	100.00	60	0	0	1	60	10	69	5e-28	119
A_07_P048166	ECs2018	100.00	60	0	0	1	60	145	204	5e-28	119
A_07_P019210	ECs4809	100.00	60	0	0	1	60	242	301	5e-28	119
A_07_P032625	ECs3637	93.33	60	4	0	1	60	614	673	2e-18	87.7
A_07_P052691	ECs3250	100.00	60	0	0	1	60	786	845	5e-28	119
A_07_P055815	ECs2941	100.00	60	0	0	1	60	553	612	5e-28	119
A_07_P011230	ECs5081	98.33	60	1	0	1	60	787	846	1e-25	111
A_07_P020890	ECs2360	100.00	60	0	0	1	60	323	382	5e-28	119
A_07_P057756	ECs4748	100.00	60	0	0	1	60	200	259	5e-28	119
A_07_P005823	ECs4722	100.00	60	0	0	1	60	268	327	5e-28	119
A_07_P059562	ECs0221	100.00	60	0	0	1	60	347	406	5e-28	119
A_07_P000021	ECs3941	98.33	60	1	0	1	60	65	124	1e-25	111
A_07_P006924	ECs1691	100.00	60	0	0	1	60	252	311	5e-28	119
A_07_P003716	ECs5210	96.67	60	2	0	1	60	468	527	3e-23	103
A_07_P018441	ECs2385	100.00	60	0	0	1	60	807	866	5e-28	119
A_07_P006461	ECs3771	96.61	59	2	0	1	59	373	431	1e-22	101
A_07_P019750	ECs3435	98.33	60	1	0	1	60	1109	1168	1e-25	111
A_07_P019137	ECs4794	98.33	60	1	0	1	60	632	691	1e-25	111
A_07_P050132	ECs1507	100.00	60	0	0	1	60	237	296	5e-28	119
A_07_P060283	ECs4542	100.00	60	0	0	1	60	110	169	5e-28	119
A_07_P021052	ECs0438	100.00	60	0	0	1	60	257	316	5e-28	119
A_07_P058162	ECs1756	100.00	60	0	0	1	60	542	601	5e-28	119
A_07_P009865	ECs0698	100.00	60	0	0	1	60	784	843	5e-28	119
A_07_P021134	ECs0455	91.67	60	5	0	1	60	327	386	4e-16	79.8
A_07_P055335	ECs2748	100.00	60	0	0	1	60	109	168	5e-28	119
A_07_P012495	ECs4082	100.00	60	0	0	1	60	217	276	5e-28	119
A_07_P011684	ECs5169	100.00	60	0	0	1	60	1276	1335	5e-28	119
A_07_P041300	ECs4095	95.00	60	3	0	1	60	245	304	7e-21	95.6
A_07_P053050	ECs3012	100.00	60	0	0	1	60	186	245	5e-28	119
A_07_P013371	ECs3325	100.00	60	0	0	1	60	1666	1725	5e-28	119
A_07_P032122	ECs2891	98.33	60	1	0	1	60	201	260	1e-25	111
A_07_P063693	ECs5043	100.00	60	0	0	1	60	1345	1404	5e-28	119
A_07_P060551	ECs4540	100.00	60	0	0	1	60	274	333	5e-28	119
A_07_P055930	ECs3508	100.00	60	0	0	1	60	40	99	5e-28	119
A_07_P041171	ECs2463	100.00	58	0	0	1	58	1103	1160	8e-27	115
A_07_P000634	ECs3059	98.33	60	1	0	1	60	973	1032	1e-25	111
A_07_P051980	ECs0732	100.00	60	0	0	1	60	28	87	5e-28	119
A_07_P043197	ECs3616	100.00	60	0	0	1	60	94	153	5e-28	119
A_07_P030402	ECs1629	95.00	60	3	0	1	60	428	487	7e-21	95.6
A_07_P030232	ECs3457	96.67	60	2	0	1	60	262	321	3e-23	103
A_07_P020894	ECs0408	100.00	60	0	0	1	60	815	874	5e-28	119
A_07_P005212	ECs1037	100.00	60	0	0	1	60	72	131	5e-28	119
A_07_P012998	ECs4179	100.00	60	0	0	1	60	223	282	5e-28	119
A_07_P061916	ECs1153	100.00	60	0	0	1	60	357	416	5e-28	119
A_07_P008164	ECs0324	96.49	57	2	0	4	60	520	576	2e-21	97.6
A_07_P031934	ECs2800	98.33	60	1	0	1	60	171	230	1e-25	111
A_07_P013022	ECs4184	100.00	60	0	0	1	60	538	597	5e-28	119
A_07_P042710	ECs3234	100.00	60	0	0	1	60	392	451	5e-28	119
A_07_P053148	ECs3122	100.00	60	0	0	1	60	816	875	5e-28	119
A_07_P062916	ECs0211	100.00	60	0	0	1	60	329	388	5e-28	119
A_07_P030845	ECs0249	96.67	60	2	0	1	60	502	561	3e-23	103
A_07_P043791	ECs0422	100.00	60	0	0	1	60	459	518	5e-28	119
A_07_P043749	ECs0395	100.00	60	0	0	1	60	415	474	5e-28	119
A_07_P058899	ECs0430	100.00	60	0	0	1	60	191	250	5e-28	119
A_07_P045326	ECs2975	100.00	60	0	0	1	60	373	432	5e-28	119
A_07_P012605	ECs4099	94.83	58	3	0	3	60	622	679	1e-19	91.7
A_07_P051076	ECs1071	100.00	60	0	0	1	60	295	354	5e-28	119
A_07_P000516	ECs4040	100.00	60	0	0	1	60	646	705	5e-28	119
A_07_P034649	ECs4376	91.67	60	5	0	1	60	52	111	4e-16	79.8
A_07_P020958	ECs0421	100.00	60	0	0	1	60	417	476	5e-28	119
A_07_P047745	ECs2210	100.00	60	0	0	1	60	136	195	5e-28	119
A_07_P020126	ECs3518	96.67	60	2	0	1	60	780	839	3e-23	103
A_07_P039041	ECs4671	98.33	60	1	0	1	60	1551	1610	1e-25	111
A_07_P041436	ECs0158	98.33	60	1	0	1	60	503	562	1e-25	111
A_07_P018182	ECs4276	98.33	60	1	0	1	60	1390	1449	1e-25	111
A_07_P018954	ECs4759	95.00	60	3	0	1	60	2027	2086	7e-21	95.6
A_07_P010251	ECs0782	98.33	60	1	0	1	60	793	852	1e-25	111
A_07_P062351	ECs3007	100.00	60	0	0	1	60	81	140	5e-28	119
A_07_P057380	ECs4552	100.00	60	0	0	1	60	39	98	5e-28	119
A_07_P002184	ECs3601	98.33	60	1	0	1	60	72	131	1e-25	111
A_07_P010803	ECs0026	100.00	60	0	0	1	60	77	136	5e-28	119
A_07_P006215	ECs3703	100.00	60	0	0	1	60	594	653	5e-28	119
A_07_P050037	ECs1291	100.00	60	0	0	1	60	775	834	5e-28	119
A_07_P060056	ECs4383	100.00	60	0	0	1	60	1259	1318	5e-28	119
A_07_P062028	ECs1180	100.00	60	0	0	1	60	193	252	5e-28	119
A_07_P057619	ECs4609	100.00	60	0	0	1	60	409	468	5e-28	119
A_07_P047241	ECs5002	100.00	60	0	0	1	60	133	192	5e-28	119
A_07_P017663	ECs5354	100.00	60	0	0	1	60	95	154	5e-28	119
A_07_P013669	ECs3388	100.00	60	0	0	1	60	716	775	5e-28	119
A_07_P000566	ECs4050	100.00	60	0	0	1	60	619	678	5e-28	119
A_07_P005271	ECs1049	100.00	60	0	0	1	60	94	153	5e-28	119
A_07_P048393	ECs1946	100.00	60	0	0	1	60	534	593	5e-28	119
A_07_P000229	ECs3982	98.33	60	1	0	1	60	86	145	1e-25	111
A_07_P020882	ECs2359	100.00	60	0	0	1	60	766	825	5e-28	119
A_07_P014705	ECs1929	100.00	60	0	0	1	60	965	1024	5e-28	119
A_07_P016673	ECs0622	96.67	60	2	0	1	60	571	630	3e-23	103
A_07_P052607	ECs2700	100.00	60	0	0	1	60	514	573	5e-28	119
A_07_P004945	ECs0984	100.00	59	0	0	1	59	1411	1469	2e-27	117
A_07_P044609	ECs2639	100.00	60	0	0	1	60	405	464	5e-28	119
A_07_P014377	ECs1852	100.00	60	0	0	1	60	72	131	5e-28	119
A_07_P004800	ECs0955	100.00	57	0	0	1	57	1182	1238	3e-26	113
A_07_P034435	ECs4253	98.33	60	1	0	1	60	781	840	1e-25	111
A_07_P040666	ECs2801	98.33	60	1	0	1	60	331	272	1e-25	111
A_07_P053781	ECs4546	100.00	60	0	0	1	60	80	139	5e-28	119
A_07_P050358	ECs1561	100.00	60	0	0	1	60	3183	3242	5e-28	119
A_07_P041198	ECs2545	100.00	50	0	0	9	58	1330	1379	5e-22	99.6
A_07_P053197	ECs3196	100.00	60	0	0	1	60	1399	1458	5e-28	119
A_07_P052525	ECs2345	100.00	60	0	0	1	60	788	847	5e-28	119
A_07_P055658	ECs2859	100.00	60	0	0	1	60	304	363	5e-28	119
A_07_P011508	ECs5136	100.00	60	0	0	1	60	707	766	5e-28	119
A_07_P040851	ECs2285	98.08	52	1	0	9	60	130	181	7e-21	95.6
A_07_P054063	ECs0481	100.00	60	0	0	1	60	1229	1288	5e-28	119
A_07_P004674	ECs0924	98.33	60	1	0	1	60	461	520	1e-25	111
A_07_P044936	ECs4546	100.00	60	0	0	1	60	80	139	5e-28	119
A_07_P063696	ECs5049	100.00	60	0	0	1	60	895	954	5e-28	119
A_07_P030781	lcl|NC_002128.1_gene_34	100.00	60	0	0	1	60	1147	1206	5e-28	119
A_07_P062222	ECs1222	100.00	60	0	0	1	60	421	480	5e-28	119
A_07_P051525	ECs1233	100.00	60	0	0	1	60	1203	1262	5e-28	119
A_07_P063122	ECs1614	100.00	60	0	0	1	60	269	328	5e-28	119
A_07_P032171	ECs2926	96.67	60	2	0	1	60	98	157	3e-23	103
A_07_P007574	ECs4408	100.00	60	0	0	1	60	964	1023	5e-28	119
A_07_P052409	ECs1498	100.00	60	0	0	1	60	418	477	5e-28	119
A_07_P045063	ECs2849	100.00	60	0	0	1	60	461	520	5e-28	119
A_07_P012159	ECs3889	98.33	60	1	0	1	60	50	109	1e-25	111
A_07_P003571	ECs3054	94.92	59	3	0	2	60	856	914	3e-20	93.7
A_07_P041475	ECs0266	100.00	55	0	0	6	60	1138	1192	5e-25	109
A_07_P020146	ECs3520	100.00	60	0	0	1	60	390	449	5e-28	119
A_07_P044256	ECs3498	100.00	60	0	0	1	60	1781	1840	5e-28	119
A_07_P049413	ECs4385	100.00	60	0	0	1	60	216	275	5e-28	119
A_07_P043615	ECs0335	100.00	60	0	0	1	60	435	494	5e-28	119
A_07_P034941	ECs2070	100.00	57	0	0	1	57	699	755	3e-26	113
A_07_P034712	ECs4387	96.67	60	2	0	1	60	624	683	3e-23	103
A_07_P008540	ECs4898	100.00	60	0	0	1	60	589	648	5e-28	119
A_07_P010999	ECs0066	98.33	60	1	0	1	60	1375	1434	1e-25	111
A_07_P000822	ECs3096	100.00	60	0	0	1	60	142	201	5e-28	119
A_07_P004904	ECs0976	100.00	60	0	0	1	60	196	255	5e-28	119
A_07_P057316	ECs1115	100.00	60	0	0	1	60	268	327	5e-28	119
A_07_P051845	ECs5350	100.00	60	0	0	1	60	1692	1751	5e-28	119
A_07_P037369	ECs5348	94.92	59	3	0	1	59	1090	1148	3e-20	93.7
A_07_P056880	ECs0842	100.00	60	0	0	1	60	2972	3031	5e-28	119
A_07_P014552	ECs1893	98.21	56	1	0	5	60	523	578	3e-23	103
A_07_P015598	ECs2490	96.67	60	2	0	1	60	317	376	3e-23	103
A_07_P054204	ECs0629	100.00	60	0	0	1	60	533	592	5e-28	119
A_07_P061811	ECs5304	100.00	60	0	0	1	60	784	843	5e-28	119
A_07_P005162	ECs1027	100.00	60	0	0	1	60	435	494	5e-28	119
A_07_P007468	ECs4378	100.00	60	0	0	1	60	468	527	5e-28	119
A_07_P037063	ECs5213	98.15	54	1	0	1	54	105	158	5e-22	99.6
A_07_P011347	ECs5104	100.00	55	0	0	1	55	966	1020	5e-25	109
A_07_P057602	ECs4605	100.00	60	0	0	1	60	850	909	5e-28	119
A_07_P000439	ECs4021	100.00	57	0	0	4	60	551	607	3e-26	113
A_07_P057952	ECs4921	100.00	60	0	0	1	60	272	331	5e-28	119
A_07_P042806	ECs3292	100.00	60	0	0	1	60	643	702	5e-28	119
A_07_P041601	ECs3418	100.00	60	0	0	1	60	125	184	5e-28	119
A_07_P018885	ECs2474	95.00	60	3	0	1	60	420	479	7e-21	95.6
A_07_P051405	ECs2981	100.00	56	0	0	5	60	352	407	1e-25	111
A_07_P012753	ECs4129	98.33	60	1	0	1	60	169	228	1e-25	111
A_07_P021245	ECs0480	98.33	60	1	0	1	60	320	379	1e-25	111
A_07_P010047	ECs0731	98.21	56	1	0	1	56	607	662	3e-23	103
A_07_P005066	ECs1007	98.33	60	1	0	1	60	3597	3656	1e-25	111
A_07_P061408	ECs4990	100.00	60	0	0	1	60	421	480	5e-28	119
A_07_P042886	ECs3410	100.00	60	0	0	1	60	697	756	5e-28	119
A_07_P052551	ECs2472	100.00	60	0	0	1	60	1643	1702	5e-28	119
A_07_P017518	ECs5324	100.00	60	0	0	1	60	361	420	5e-28	119
A_07_P019926	ECs3473	100.00	60	0	0	1	60	1237	1296	5e-28	119
A_07_P009551	ECs2098	100.00	60	0	0	1	60	1133	1192	5e-28	119
A_07_P008172	ECs0327	98.25	57	1	0	4	60	136	192	7e-24	105
A_07_P055501	ECs2798	100.00	60	0	0	1	60	204	263	5e-28	119
A_07_P056058	ECs3611	100.00	60	0	0	1	60	515	574	5e-28	119
A_07_P054903	ECs2427	100.00	60	0	0	1	60	1642	1701	5e-28	119
A_07_P001730	ECs1483	98.31	59	1	0	2	60	439	497	5e-25	109
A_07_P002917	ECs0194	98.28	58	1	0	3	60	565	622	2e-24	107
A_07_P055510	ECs2799	100.00	60	0	0	1	60	201	260	5e-28	119
A_07_P009666	ECs0659	100.00	60	0	0	1	60	267	326	5e-28	119
A_07_P053706	ECs0302	100.00	60	0	0	1	60	251	310	5e-28	119
A_07_P018663	ECs2429	100.00	58	0	0	3	60	535	592	8e-27	115
A_07_P016950	ECs4477	98.33	60	1	0	1	60	512	571	1e-25	111
A_07_P015709	ECs2512	98.33	60	1	0	1	60	870	929	1e-25	111
A_07_P011076	ECs0084	98.33	60	1	0	1	60	347	406	1e-25	111
A_07_P015767	ECs2524	100.00	60	0	0	1	60	1307	1366	5e-28	119
A_07_P021034	ECs0434	95.00	60	3	0	1	60	241	300	7e-21	95.6
A_07_P032365	ECs3106	93.33	60	4	0	1	60	584	643	2e-18	87.7
A_07_P018008	ECs4238	100.00	60	0	0	1	60	1857	1916	5e-28	119
A_07_P000815	ECs3094	100.00	60	0	0	1	60	569	628	5e-28	119
A_07_P007294	ECs4320	100.00	60	0	0	1	60	528	587	5e-28	119
A_07_P036791	ECs3911	96.43	56	2	0	1	56	241	296	7e-21	95.6
A_07_P047671	ECs2746	100.00	60	0	0	1	60	1733	1792	5e-28	119
A_07_P005300	ECs1054	98.33	60	1	0	1	60	174	233	1e-25	111
A_07_P052621	ECs2858	100.00	60	0	0	1	60	694	753	5e-28	119
A_07_P021187	ECs0468	98.33	60	1	0	1	60	103	162	1e-25	111
A_07_P000991	ECs3126	100.00	60	0	0	1	60	818	877	5e-28	119
A_07_P000192	ECs3975	100.00	60	0	0	1	60	874	933	5e-28	119
A_07_P032131	ECs2899	98.28	58	1	0	1	58	647	704	2e-24	107
A_07_P042926	ECs3442	100.00	60	0	0	1	60	1083	1142	5e-28	119
A_07_P051325	ECs3005	100.00	60	0	0	1	60	120	179	5e-28	119
A_07_P008933	ECs5040	100.00	60	0	0	1	60	2303	2362	5e-28	119
A_07_P044095	ECs1863	100.00	60	0	0	1	60	934	993	5e-28	119
A_07_P045924	ECs4020	100.00	60	0	0	1	60	407	466	5e-28	119
A_07_P001060	ECs3142	100.00	60	0	0	1	60	831	890	5e-28	119
A_07_P037761	ECs5083	89.47	57	6	0	1	57	426	482	6e-12	65.9
A_07_P010641	ECs5584	95.00	60	3	0	1	60	69	128	7e-21	95.6
A_07_P058220	ECs1768	100.00	60	0	0	1	60	428	487	5e-28	119
A_07_P055366	ECs2756	100.00	60	0	0	1	60	490	549	5e-28	119
A_07_P010640	ECs5032	100.00	60	0	0	1	60	174	233	5e-28	119
A_07_P060605	ECs1505	100.00	60	0	0	1	60	59	118	5e-28	119
A_07_P042322	ECs2330	98.33	60	1	0	1	60	874	933	1e-25	111
A_07_P035434	ECs0126	98.33	60	1	0	1	60	112	171	1e-25	111
A_07_P011801	ECs3807	98.33	60	1	0	1	60	876	935	1e-25	111
A_07_P008247	ECs0357	96.30	54	2	0	1	54	1542	1595	1e-19	91.7
A_07_P012761	ECs4131	100.00	60	0	0	1	60	249	308	5e-28	119
A_07_P007401	ECs4365	100.00	60	0	0	1	60	452	511	5e-28	119
A_07_P052653	ECs3106	100.00	60	0	0	1	60	532	591	5e-28	119
A_07_P018816	ECs2460	100.00	60	0	0	1	60	34	93	5e-28	119
A_07_P035242	ECs2471	96.67	60	2	0	1	60	456	515	3e-23	103
A_07_P033257	ECs1339	96.67	60	2	0	1	60	1555	1614	3e-23	103
A_07_P019409	ECs4851	100.00	58	0	0	3	60	961	1018	8e-27	115
A_07_P061613	ECs5207	100.00	60	0	0	1	60	967	1026	5e-28	119
A_07_P005180	ECs1030	100.00	60	0	0	1	60	187	246	5e-28	119
A_07_P054501	ECs2259	100.00	60	0	0	1	60	426	485	5e-28	119
A_07_P007496	ECs4393	100.00	60	0	0	1	60	218	277	5e-28	119
A_07_P059921	ECs4331	100.00	60	0	0	1	60	1302	1361	5e-28	119
A_07_P015168	ECs2700	98.28	58	1	0	1	58	150	207	2e-24	107
A_07_P047316	ECs5074	100.00	60	0	0	1	60	1400	1459	5e-28	119
A_07_P058333	ECs2247	100.00	60	0	0	1	60	268	327	5e-28	119
A_07_P034706	ECs4386	100.00	60	0	0	1	60	69	128	5e-28	119
A_07_P008588	ECs4908	100.00	60	0	0	1	60	97	156	5e-28	119
A_07_P052417	ECs1602	100.00	60	0	0	1	60	442	501	5e-28	119
A_07_P056017	ECs3591	100.00	60	0	0	1	60	23	82	5e-28	119
A_07_P052526	ECs2349	100.00	60	0	0	1	60	650	709	5e-28	119
A_07_P037427	ECs4909	100.00	60	0	0	1	60	88	29	5e-28	119
A_07_P038912	ECs5432	98.33	60	1	0	1	60	47	106	1e-25	111
A_07_P047003	ECs4758	100.00	60	0	0	1	60	322	381	5e-28	119
A_07_P045360	ECs2985	100.00	60	0	0	1	60	228	287	5e-28	119
A_07_P063132	ECs1743	100.00	60	0	0	1	60	1570	1629	5e-28	119
A_07_P020159	ECs3522	100.00	60	0	0	1	60	1373	1432	5e-28	119
A_07_P043541	ECs0307	100.00	60	0	0	1	60	118	177	5e-28	119
A_07_P002044	ECs3575	98.33	60	1	0	1	60	75	134	4e-13	69.9
A_07_P017297	ECs4614	100.00	60	0	0	1	60	604	663	5e-28	119
A_07_P063146	ECs1878	100.00	60	0	0	1	60	835	894	5e-28	119
A_07_P046796	ECs1327	100.00	60	0	0	1	60	541	600	5e-28	119
A_07_P055498	ECs2797	100.00	60	0	0	1	60	597	656	5e-28	119
A_07_P060693	ECs1524	100.00	60	0	0	1	60	762	821	5e-28	119
A_07_P041549	ECs0635	95.00	60	3	0	1	60	102	161	7e-21	95.6
A_07_P062245	ECs1226	100.00	60	0	0	1	60	167	226	5e-28	119
A_07_P035289	ECs2520	98.21	56	1	0	5	60	74	19	3e-23	103
A_07_P062936	ECs0360	100.00	60	0	0	1	60	1459	1518	5e-28	119
A_07_P015721	ECs2515	95.00	60	3	0	1	60	405	464	7e-21	95.6
A_07_P001047	ECs3140	98.33	60	1	0	1	60	506	565	1e-25	111
A_07_P002278	ECs3621	98.33	60	1	0	1	60	657	716	1e-25	111
A_07_P055539	ECs2808	100.00	60	0	0	1	60	276	335	5e-28	119
A_07_P053871	ECs0357	100.00	60	0	0	1	60	883	942	5e-28	119
A_07_P048016	ECs2134	100.00	60	0	0	1	60	697	756	5e-28	119
A_07_P045493	ECs3055	100.00	60	0	0	1	60	605	664	5e-28	119
A_07_P062804	ECs5464	100.00	60	0	0	1	60	66	125	5e-28	119
A_07_P043254	ECs3663	100.00	60	0	0	1	60	1354	1413	5e-28	119
A_07_P047733	ECs2214	100.00	60	0	0	1	60	56	115	5e-28	119
A_07_P039761	ECs4491	98.21	56	1	0	5	60	301	356	3e-23	103
A_07_P021466	ECs0525	98.33	60	1	0	1	60	364	423	1e-25	111
A_07_P049258	ECs0212	100.00	60	0	0	1	60	76	135	5e-28	119
A_07_P043643	ECs0350	100.00	60	0	0	1	60	960	1019	5e-28	119
A_07_P047758	ECs2207	100.00	60	0	0	1	60	162	221	5e-28	119
A_07_P013803	ECs3187	100.00	60	0	0	1	60	214	273	5e-28	119
A_07_P004466	ECs0881	100.00	60	0	0	1	60	163	222	5e-28	119
A_07_P013234	ECs3306	95.00	60	3	0	1	60	594	653	7e-21	95.6
A_07_P051815	ECs4095	100.00	60	0	0	1	60	235	294	5e-28	119
A_07_P013174	ECs3294	98.33	60	1	0	1	60	787	846	1e-25	111
A_07_P009276	ECs2041	98.33	60	1	0	1	60	139	198	1e-25	111
A_07_P055290	ECs2736	100.00	60	0	0	1	60	334	393	5e-28	119
A_07_P000918	ECs3109	100.00	60	0	0	1	60	638	697	5e-28	119
A_07_P013879	ECs3202	98.28	58	1	0	3	60	583	640	2e-24	107
A_07_P052368	ECs5187	100.00	60	0	0	1	60	584	643	5e-28	119
A_07_P015526	ECs2846	100.00	60	0	0	1	60	108	167	5e-28	119
A_07_P062328	ECs1243	100.00	60	0	0	1	60	99	158	5e-28	119
A_07_P003591	ECs5186	100.00	60	0	0	1	60	1164	1223	5e-28	119
A_07_P046766	ECs1321	100.00	60	0	0	1	60	685	744	5e-28	119
A_07_P000816	ECs3095	95.00	60	3	0	1	60	2049	2108	7e-21	95.6
A_07_P006987	ECs1712	100.00	60	0	0	1	60	793	852	5e-28	119
A_07_P030364	ECs2172	93.33	60	4	0	1	60	97	156	2e-18	87.7
A_07_P061955	ECs1165	100.00	60	0	0	1	60	60	119	5e-28	119
